α,Ea (kJ/mol),Intercept,R²,k0 (1/min),ΔH (kJ/mol),ΔG (kJ/mol),ΔS (kJ/mol·K)
0.1,41.754,17.200440323894945,0.91855,6.214e+05,38.595,93.44,-0.14434
0.2,121.337,33.597836253374865,0.86345,6.118e+12,117.128,123.632,-0.01285
0.3,158.666,39.438966576636055,0.9828,1.721e+15,154.051,135.581,0.03327
0.4,182.271,42.7690568600598,0.98524,4.244e+16,177.417,142.676,0.0595
0.5,205.329,45.7082455421934,0.9865,7.121e+17,200.239,149.704,0.08256
0.6,209.641,45.01137796018639,0.99446,3.477e+17,204.358,155.884,0.07629
0.7,274.571,55.93844810710411,0.94663,1.380e+22,269.088,160.921,0.16401
0.8,-4.073,2.548255728610022,0.00015,-1.574e-02,-10.005,,
0.9,-103.027,-13.028829628199283,0.25523,-1.177e-07,-109.677,,
