α,Ea (kJ/mol),Intercept,R²,k0 (1/min),ΔH (kJ/mol),ΔG (kJ/mol),ΔS (kJ/mol·K)
0.2,119.434,19.724510781330487,0.84723,3.831e+12,115.225,123.698,-0.01674
0.3,157.885,25.390137564301057,0.98084,1.446e+15,153.27,135.604,0.03183
0.4,182.221,28.62133905085719,0.98368,4.199e+16,177.367,142.677,0.05942
0.5,205.999,31.469857750388684,0.98518,8.151e+17,200.91,149.687,0.08368
0.6,210.171,30.70333650170967,0.99393,3.854e+17,204.888,155.87,0.07714
0.7,277.976,41.55217202598594,0.94269,2.600e+22,272.493,160.853,0.16928
0.8,-15.65,-11.98489333279596,0.00202,-8.591e-03,-21.581,,
