,DRmax (% min⁻¹),DRmax (% min⁻¹),DRmax (% min⁻¹),DTmax (K),DTmax (K),DTmax (K),Tf (K),Tf (K),Tf (K),Ti (K),Ti (K),Ti (K)
Zone,Zone I,Zone II,Zone III,Zone I,Zone II,Zone III,Zone I,Zone II,Zone III,Zone I,Zone II,Zone III
β (K min⁻¹),,,,,,,,,,,,
10.0,0.26,0.39,0.07,564.8,619.1,952.6,572.1,871.8,1173.0,293.0,573.6,873.3
20.0,0.25,0.37,0.05,567.7,635.3,962.9,572.1,871.8,1173.0,293.0,573.6,873.3
40.0,0.25,0.34,0.04,572.1,644.1,964.4,572.1,871.8,1173.0,293.0,573.6,873.3
60.0,0.24,0.34,0.04,572.1,650.0,873.3,572.1,871.8,1173.0,293.0,573.6,873.3
