α,Ea (kJ/mol),Intercept,R²,k0 (1/min),ΔH (kJ/mol),ΔG (kJ/mol),ΔS (kJ/mol·K)
0.2,119.193,19.14645555332863,0.8465,3.611e+12,114.984,123.707,-0.01723
0.3,157.643,24.804769688787086,0.98076,1.370e+15,153.028,135.611,0.03138
0.4,181.979,28.03185080880705,0.98361,3.990e+16,177.125,142.684,0.05899
0.5,205.758,30.876591592396807,0.98512,7.764e+17,200.668,149.693,0.08327
0.6,209.918,30.10716810760649,0.9939,3.669e+17,204.635,155.877,0.07673
0.7,277.759,40.95274385593934,0.94252,2.497e+22,272.276,160.858,0.16894
0.8,-16.136,-12.590441210354598,0.00214,-8.160e-03,-22.068,,
