α,Ea (kJ/mol),Intercept,R²,k0 (1/min),ΔH (kJ/mol),ΔG (kJ/mol),ΔS (kJ/mol·K)
0.1,89.303,24.256824493371717,0.88351,4.573e+12,86.144,91.038,-0.01288
0.2,260.247,57.66153585159587,0.87497,2.821e+27,256.038,120.42,0.26787
0.3,338.567,70.13896911676474,0.9865,3.128e+32,333.952,132.084,0.36368
0.4,388.452,76.86493221985299,0.98545,2.530e+35,383.597,139.003,0.41893
0.5,429.989,81.37858166891786,0.98898,2.213e+37,424.9,145.942,0.45571
0.6,439.298,80.3153718166619,0.99712,5.517e+36,434.015,151.976,0.44385
0.7,643.703,114.09217715015009,0.89893,5.589e+51,638.22,156.249,0.73081
0.8,-71.992,-16.239421434859906,0.00915,-2.963e-06,-77.923,,
0.9,-250.548,-42.26366159066002,0.28656,-6.647e-17,-257.198,,
