         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   2.14982e+01   0.00000e+00  -3.85888e+01   1.06001e+01   3.00000e+01
             1   2.14809e+01   1.00000e+00  -3.94803e+01   1.05998e+01   3.03333e+01
             2   2.15347e+01   2.00000e+00  -4.03504e+01   1.05995e+01   3.06667e+01
             3   2.16740e+01   3.00000e+00  -4.11087e+01   1.05992e+01   3.10000e+01
             4   2.18887e+01   4.00000e+00  -4.18108e+01   1.05989e+01   3.13333e+01
             5   2.21154e+01   5.00000e+00  -4.22830e+01   1.05988e+01   3.16667e+01
             6   2.23599e+01   6.00000e+00  -4.27234e+01   1.05989e+01   3.20000e+01
             7   2.26156e+01   7.00000e+00  -4.31934e+01   1.05991e+01   3.23333e+01
             8   2.28734e+01   8.00000e+00  -4.34500e+01   1.06000e+01   3.26667e+01
             9   2.31511e+01   9.00000e+00  -4.38321e+01   1.06008e+01   3.30000e+01
            10   2.34360e+01   1.00000e+01  -4.42371e+01   1.06016e+01   3.33333e+01
            11   2.37218e+01   1.10000e+01  -4.46278e+01   1.06026e+01   3.36667e+01
            12   2.40136e+01   1.20000e+01  -4.48210e+01   1.06041e+01   3.40000e+01
            13   2.43297e+01   1.30000e+01  -4.50889e+01   1.06052e+01   3.43333e+01
            14   2.46471e+01   1.40000e+01  -4.53526e+01   1.06063e+01   3.46667e+01
            15   2.49625e+01   1.50000e+01  -4.56050e+01   1.06074e+01   3.50000e+01
            16   2.52849e+01   1.60000e+01  -4.57035e+01   1.06082e+01   3.53333e+01
            17   2.56041e+01   1.70000e+01  -4.58741e+01   1.06090e+01   3.56667e+01
            18   2.59348e+01   1.80000e+01  -4.60520e+01   1.06096e+01   3.60000e+01
            19   2.62630e+01   1.90000e+01  -4.62217e+01   1.06103e+01   3.63333e+01
            20   2.66010e+01   2.00000e+01  -4.62688e+01   1.06105e+01   3.66667e+01
            21   2.69297e+01   2.10000e+01  -4.63696e+01   1.06109e+01   3.70000e+01
            22   2.72699e+01   2.20000e+01  -4.64737e+01   1.06112e+01   3.73333e+01
            23   2.76058e+01   2.30000e+01  -4.65713e+01   1.06115e+01   3.76667e+01
            24   2.79525e+01   2.40000e+01  -4.65792e+01   1.06116e+01   3.80000e+01
            25   2.82978e+01   2.50000e+01  -4.66293e+01   1.06116e+01   3.83333e+01
            26   2.86371e+01   2.60000e+01  -4.66840e+01   1.06116e+01   3.86667e+01
            27   2.89861e+01   2.70000e+01  -4.67341e+01   1.06116e+01   3.90000e+01
            28   2.93347e+01   2.80000e+01  -4.67185e+01   1.06112e+01   3.93333e+01
            29   2.96896e+01   2.90000e+01  -4.67340e+01   1.06109e+01   3.96667e+01
            30   3.00319e+01   3.00000e+01  -4.67534e+01   1.06105e+01   4.00000e+01
            31   3.03972e+01   3.10000e+01  -4.67697e+01   1.06101e+01   4.03333e+01
            32   3.07381e+01   3.20000e+01  -4.67396e+01   1.06095e+01   4.06667e+01
            33   3.10875e+01   3.30000e+01  -4.67305e+01   1.06089e+01   4.10000e+01
            34   3.14299e+01   3.40000e+01  -4.67242e+01   1.06083e+01   4.13333e+01
            35   3.17908e+01   3.50000e+01  -4.67149e+01   1.06077e+01   4.16667e+01
            36   3.21446e+01   3.60000e+01  -4.66746e+01   1.06069e+01   4.20000e+01
            37   3.24935e+01   3.70000e+01  -4.66483e+01   1.06062e+01   4.23333e+01
            38   3.28382e+01   3.80000e+01  -4.66228e+01   1.06054e+01   4.26667e+01
            39   3.31924e+01   3.90000e+01  -4.65955e+01   1.06046e+01   4.30000e+01
            40   3.35611e+01   4.00000e+01  -4.65455e+01   1.06037e+01   4.33333e+01
            41   3.39139e+01   4.10000e+01  -4.65070e+01   1.06028e+01   4.36667e+01
            42   3.42635e+01   4.20000e+01  -4.64678e+01   1.06019e+01   4.40000e+01
            43   3.46183e+01   4.30000e+01  -4.64269e+01   1.06010e+01   4.43333e+01
            44   3.49961e+01   4.40000e+01  -4.63680e+01   1.05999e+01   4.46667e+01
            45   3.53341e+01   4.50000e+01  -4.63148e+01   1.05989e+01   4.50000e+01
            46   3.56919e+01   4.60000e+01  -4.62599e+01   1.05978e+01   4.53333e+01
            47   3.60559e+01   4.70000e+01  -4.62021e+01   1.05967e+01   4.56667e+01
            48   3.64093e+01   4.80000e+01  -4.61304e+01   1.05955e+01   4.60000e+01
            49   3.67541e+01   4.90000e+01  -4.60648e+01   1.05943e+01   4.63333e+01
            50   3.71196e+01   5.00000e+01  -4.59980e+01   1.05931e+01   4.66667e+01
            51   3.74805e+01   5.10000e+01  -4.59286e+01   1.05918e+01   4.70000e+01
            52   3.78360e+01   5.20000e+01  -4.58386e+01   1.05905e+01   4.73333e+01
            53   3.82021e+01   5.30000e+01  -4.57585e+01   1.05891e+01   4.76667e+01
            54   3.85758e+01   5.40000e+01  -4.56795e+01   1.05877e+01   4.80000e+01
            55   3.89388e+01   5.50000e+01  -4.56001e+01   1.05863e+01   4.83333e+01
            56   3.93031e+01   5.60000e+01  -4.55024e+01   1.05848e+01   4.86667e+01
            57   3.96518e+01   5.70000e+01  -4.54140e+01   1.05833e+01   4.90000e+01
            58   4.00218e+01   5.80000e+01  -4.53261e+01   1.05817e+01   4.93333e+01
            59   4.03918e+01   5.90000e+01  -4.52365e+01   1.05802e+01   4.96667e+01
            60   4.07566e+01   6.00000e+01  -4.51363e+01   1.05785e+01   5.00000e+01
            61   4.11177e+01   6.10000e+01  -4.50418e+01   1.05768e+01   5.03333e+01
            62   4.14844e+01   6.20000e+01  -4.49496e+01   1.05750e+01   5.06667e+01
            63   4.18378e+01   6.30000e+01  -4.48588e+01   1.05733e+01   5.10000e+01
            64   4.22010e+01   6.40000e+01  -4.47625e+01   1.05714e+01   5.13333e+01
