         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   2.74994e+01   0.00000e+00  -1.58119e+00   9.59757e+00   3.00000e+01
             1   2.45225e+01   1.00000e+00  -2.69723e+00   9.59726e+00   3.01667e+01
             2   2.42442e+01   2.00000e+00  -4.44699e+00   9.59696e+00   3.03333e+01
             3   2.42901e+01   3.00000e+00  -4.32646e+00   9.59660e+00   3.05000e+01
             4   2.43703e+01   4.00000e+00  -3.88073e+00   9.59607e+00   3.06667e+01
             5   2.44493e+01   5.00000e+00  -3.65210e+00   9.59559e+00   3.08333e+01
             6   2.45558e+01   6.00000e+00  -3.51425e+00   9.59509e+00   3.10000e+01
             7   2.46606e+01   7.00000e+00  -3.40534e+00   9.59460e+00   3.11667e+01
             8   2.47551e+01   8.00000e+00  -3.48023e+00   9.59403e+00   3.13333e+01
             9   2.48729e+01   9.00000e+00  -3.56982e+00   9.59345e+00   3.15000e+01
            10   2.49805e+01   1.00000e+01  -3.64711e+00   9.59284e+00   3.16667e+01
            11   2.51143e+01   1.10000e+01  -3.69599e+00   9.59226e+00   3.18333e+01
            12   2.52521e+01   1.20000e+01  -3.59065e+00   9.59159e+00   3.20000e+01
            13   2.53773e+01   1.30000e+01  -3.52433e+00   9.59099e+00   3.21667e+01
            14   2.55098e+01   1.40000e+01  -3.47968e+00   9.59038e+00   3.23333e+01
            15   2.56407e+01   1.50000e+01  -3.44502e+00   9.58974e+00   3.25000e+01
            16   2.57714e+01   1.60000e+01  -3.40636e+00   9.58908e+00   3.26667e+01
            17   2.59215e+01   1.70000e+01  -3.37849e+00   9.58846e+00   3.28333e+01
            18   2.60692e+01   1.80000e+01  -3.34811e+00   9.58784e+00   3.30000e+01
            19   2.62031e+01   1.90000e+01  -3.31312e+00   9.58726e+00   3.31667e+01
            20   2.63679e+01   2.00000e+01  -3.25722e+00   9.58668e+00   3.33333e+01
            21   2.65133e+01   2.10000e+01  -3.20878e+00   9.58615e+00   3.35000e+01
            22   2.66739e+01   2.20000e+01  -3.16406e+00   9.58562e+00   3.36667e+01
            23   2.68328e+01   2.30000e+01  -3.12178e+00   9.58507e+00   3.38333e+01
            24   2.69894e+01   2.40000e+01  -3.07506e+00   9.58453e+00   3.40000e+01
            25   2.71515e+01   2.50000e+01  -3.03266e+00   9.58393e+00   3.41667e+01
            26   2.73063e+01   2.60000e+01  -2.99009e+00   9.58333e+00   3.43333e+01
            27   2.74695e+01   2.70000e+01  -2.94711e+00   9.58271e+00   3.45000e+01
            28   2.76416e+01   2.80000e+01  -2.90664e+00   9.58193e+00   3.46667e+01
            29   2.77939e+01   2.90000e+01  -2.86745e+00   9.58120e+00   3.48333e+01
            30   2.79603e+01   3.00000e+01  -2.82964e+00   9.58051e+00   3.50000e+01
            31   2.81288e+01   3.10000e+01  -2.79259e+00   9.57981e+00   3.51667e+01
            32   2.82956e+01   3.20000e+01  -2.76122e+00   9.57904e+00   3.53333e+01
            33   2.84556e+01   3.30000e+01  -2.72608e+00   9.57827e+00   3.55000e+01
            34   2.86334e+01   3.40000e+01  -2.69091e+00   9.57746e+00   3.56667e+01
            35   2.88117e+01   3.50000e+01  -2.65705e+00   9.57664e+00   3.58333e+01
            36   2.89793e+01   3.60000e+01  -2.62890e+00   9.57572e+00   3.60000e+01
            37   2.91334e+01   3.70000e+01  -2.60126e+00   9.57484e+00   3.61667e+01
            38   2.93054e+01   3.80000e+01  -2.57584e+00   9.57401e+00   3.63333e+01
            39   2.94783e+01   3.90000e+01  -2.55249e+00   9.57318e+00   3.65000e+01
            40   2.96523e+01   4.00000e+01  -2.53604e+00   9.57231e+00   3.66667e+01
            41   2.98274e+01   4.10000e+01  -2.51856e+00   9.57145e+00   3.68333e+01
            42   3.00079e+01   4.20000e+01  -2.50414e+00   9.57057e+00   3.70000e+01
            43   3.01683e+01   4.30000e+01  -2.49231e+00   9.56969e+00   3.71667e+01
            44   3.03554e+01   4.40000e+01  -2.49539e+00   9.56878e+00   3.73333e+01
            45   3.05200e+01   4.50000e+01  -2.49492e+00   9.56785e+00   3.75000e+01
            46   3.06813e+01   4.60000e+01  -2.49619e+00   9.56691e+00   3.76667e+01
            47   3.08514e+01   4.70000e+01  -2.49932e+00   9.56597e+00   3.78333e+01
            48   3.10309e+01   4.80000e+01  -2.52306e+00   9.56496e+00   3.80000e+01
            49   3.11991e+01   4.90000e+01  -2.53731e+00   9.56397e+00   3.81667e+01
            50   3.13707e+01   5.00000e+01  -2.55318e+00   9.56298e+00   3.83333e+01
            51   3.15327e+01   5.10000e+01  -2.57159e+00   9.56200e+00   3.85000e+01
            52   3.17129e+01   5.20000e+01  -2.61242e+00   9.56099e+00   3.86667e+01
            53   3.18786e+01   5.30000e+01  -2.64453e+00   9.56000e+00   3.88333e+01
            54   3.20409e+01   5.40000e+01  -2.67814e+00   9.55897e+00   3.90000e+01
            55   3.22154e+01   5.50000e+01  -2.71554e+00   9.55789e+00   3.91667e+01
            56   3.23925e+01   5.60000e+01  -2.77316e+00   9.55676e+00   3.93333e+01
            57   3.25667e+01   5.70000e+01  -2.82224e+00   9.55565e+00   3.95000e+01
            58   3.27403e+01   5.80000e+01  -2.87169e+00   9.55454e+00   3.96667e+01
            59   3.28995e+01   5.90000e+01  -2.92452e+00   9.55343e+00   3.98333e+01
            60   3.30746e+01   6.00000e+01  -3.00256e+00   9.55218e+00   4.00000e+01
            61   3.32363e+01   6.10000e+01  -3.07054e+00   9.55097e+00   4.01667e+01
            62   3.34101e+01   6.20000e+01  -3.13913e+00   9.54978e+00   4.03333e+01
            63   3.35668e+01   6.30000e+01  -3.21108e+00   9.54860e+00   4.05000e+01
            64   3.37354e+01   6.40000e+01  -3.30977e+00   9.54738e+00   4.06667e+01
            65   3.39046e+01   6.50000e+01  -3.39708e+00   9.54615e+00   4.08333e+01
            66   3.40885e+01   6.60000e+01  -3.48449e+00   9.54494e+00   4.10000e+01
            67   3.42470e+01   6.70000e+01  -3.57358e+00   9.54373e+00   4.11667e+01
            68   3.44104e+01   6.80000e+01  -3.68589e+00   9.54247e+00   4.13333e+01
            69   3.45754e+01   6.90000e+01  -3.78896e+00   9.54121e+00   4.15000e+01
            70   3.47485e+01   7.00000e+01  -3.89214e+00   9.53994e+00   4.16667e+01
            71   3.49023e+01   7.10000e+01  -3.99808e+00   9.53864e+00   4.18333e+01
            72   3.50681e+01   7.20000e+01  -4.12919e+00   9.53725e+00   4.20000e+01
            73   3.52338e+01   7.30000e+01  -4.24908e+00   9.53587e+00   4.21667e+01
            74   3.53956e+01   7.40000e+01  -4.36825e+00   9.53452e+00   4.23333e+01
            75   3.55716e+01   7.50000e+01  -4.48879e+00   9.53318e+00   4.25000e+01
            76   3.57332e+01   7.60000e+01  -4.62909e+00   9.53177e+00   4.26667e+01
            77   3.58964e+01   7.70000e+01  -4.76198e+00   9.53036e+00   4.28333e+01
            78   3.60639e+01   7.80000e+01  -4.89255e+00   9.52893e+00   4.30000e+01
            79   3.62258e+01   7.90000e+01  -5.02297e+00   9.52750e+00   4.31667e+01
            80   3.63800e+01   8.00000e+01  -5.17240e+00   9.52595e+00   4.33333e+01
            81   3.65496e+01   8.10000e+01  -5.31295e+00   9.52443e+00   4.35000e+01
            82   3.67066e+01   8.20000e+01  -5.45344e+00   9.52288e+00   4.36667e+01
            83   3.68743e+01   8.30000e+01  -5.59541e+00   9.52135e+00   4.38333e+01
            84   3.70365e+01   8.40000e+01  -5.74847e+00   9.51968e+00   4.40000e+01
            85   3.71884e+01   8.50000e+01  -5.89567e+00   9.51804e+00   4.41667e+01
