         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   2.79173e+01   0.00000e+00   2.73044e+01   1.31484e+01   3.00000e+01
             1   2.49534e+01   1.00000e+00   2.15481e+01   1.31480e+01   3.10000e+01
             2   2.48900e+01   2.00000e+00   1.50079e+01   1.31478e+01   3.20000e+01
             3   2.55982e+01   3.00000e+00   1.26908e+01   1.31476e+01   3.30000e+01
             4   2.63843e+01   4.00000e+00   1.29588e+01   1.31474e+01   3.40000e+01
             5   2.71901e+01   5.00000e+00   1.33029e+01   1.31470e+01   3.50000e+01
             6   2.80243e+01   6.00000e+00   1.37363e+01   1.31464e+01   3.60000e+01
             7   2.89259e+01   7.00000e+00   1.43418e+01   1.31457e+01   3.70000e+01
             8   2.99155e+01   8.00000e+00   1.47111e+01   1.31448e+01   3.80000e+01
             9   3.09809e+01   9.00000e+00   1.50259e+01   1.31441e+01   3.90000e+01
            10   3.20537e+01   1.00000e+01   1.53010e+01   1.31434e+01   4.00000e+01
            11   3.31526e+01   1.10000e+01   1.55543e+01   1.31428e+01   4.10000e+01
            12   3.42640e+01   1.20000e+01   1.57404e+01   1.31421e+01   4.20000e+01
            13   3.54129e+01   1.30000e+01   1.59851e+01   1.31416e+01   4.30000e+01
            14   3.65581e+01   1.40000e+01   1.62354e+01   1.31411e+01   4.40000e+01
            15   3.77195e+01   1.50000e+01   1.64771e+01   1.31406e+01   4.50000e+01
            16   3.88919e+01   1.60000e+01   1.66122e+01   1.31402e+01   4.60000e+01
            17   4.00614e+01   1.70000e+01   1.67804e+01   1.31396e+01   4.70000e+01
            18   4.12289e+01   1.80000e+01   1.69417e+01   1.31389e+01   4.80000e+01
            19   4.24067e+01   1.90000e+01   1.70898e+01   1.31382e+01   4.90000e+01
            20   4.35941e+01   2.00000e+01   1.71302e+01   1.31371e+01   5.00000e+01
            21   4.47640e+01   2.10000e+01   1.72144e+01   1.31360e+01   5.10000e+01
            22   4.59407e+01   2.20000e+01   1.72967e+01   1.31348e+01   5.20000e+01
            23   4.71133e+01   2.30000e+01   1.73693e+01   1.31336e+01   5.30000e+01
            24   4.82852e+01   2.40000e+01   1.73367e+01   1.31319e+01   5.40000e+01
            25   4.94502e+01   2.50000e+01   1.73426e+01   1.31303e+01   5.50000e+01
            26   5.06126e+01   2.60000e+01   1.73424e+01   1.31285e+01   5.60000e+01
            27   5.17734e+01   2.70000e+01   1.73315e+01   1.31267e+01   5.70000e+01
            28   5.29201e+01   2.80000e+01   1.72045e+01   1.31244e+01   5.80000e+01
            29   5.40751e+01   2.90000e+01   1.71236e+01   1.31222e+01   5.90000e+01
            30   5.52176e+01   3.00000e+01   1.70398e+01   1.31198e+01   6.00000e+01
            31   5.63635e+01   3.10000e+01   1.69450e+01   1.31174e+01   6.10000e+01
            32   5.75084e+01   3.20000e+01   1.67368e+01   1.31146e+01   6.20000e+01
            33   5.86494e+01   3.30000e+01   1.65693e+01   1.31117e+01   6.30000e+01
            34   5.97681e+01   3.40000e+01   1.63975e+01   1.31088e+01   6.40000e+01
            35   6.08967e+01   3.50000e+01   1.62141e+01   1.31057e+01   6.50000e+01
            36   6.20062e+01   3.60000e+01   1.59147e+01   1.31021e+01   6.60000e+01
            37   6.31261e+01   3.70000e+01   1.56628e+01   1.30984e+01   6.70000e+01
            38   6.42413e+01   3.80000e+01   1.54089e+01   1.30946e+01   6.80000e+01
            39   6.53450e+01   3.90000e+01   1.51459e+01   1.30905e+01   6.90000e+01
            40   6.64341e+01   4.00000e+01   1.47675e+01   1.30856e+01   7.00000e+01
            41   6.75260e+01   4.10000e+01   1.44351e+01   1.30808e+01   7.10000e+01
            42   6.86205e+01   4.20000e+01   1.41001e+01   1.30759e+01   7.20000e+01
            43   6.96977e+01   4.30000e+01   1.37557e+01   1.30708e+01   7.30000e+01
            44   7.07761e+01   4.40000e+01   1.33044e+01   1.30649e+01   7.40000e+01
            45   7.18627e+01   4.50000e+01   1.28956e+01   1.30591e+01   7.50000e+01
            46   7.29214e+01   4.60000e+01   1.24851e+01   1.30530e+01   7.60000e+01
            47   7.39939e+01   4.70000e+01   1.20671e+01   1.30468e+01   7.70000e+01
            48   7.50523e+01   4.80000e+01   1.15493e+01   1.30397e+01   7.80000e+01
            49   7.61130e+01   4.90000e+01   1.10712e+01   1.30327e+01   7.90000e+01
            50   7.71608e+01   5.00000e+01   1.05937e+01   1.30255e+01   8.00000e+01
            51   7.82035e+01   5.10000e+01   1.01113e+01   1.30180e+01   8.10000e+01
            52   7.92439e+01   5.20000e+01   9.53242e+00   1.30096e+01   8.20000e+01
            53   8.02865e+01   5.30000e+01   8.99313e+00   1.30012e+01   8.30000e+01
            54   8.13159e+01   5.40000e+01   8.45503e+00   1.29925e+01   8.40000e+01
            55   8.23484e+01   5.50000e+01   7.91151e+00   1.29836e+01   8.50000e+01
            56   8.33797e+01   5.60000e+01   7.28745e+00   1.29735e+01   8.60000e+01
            57   8.44055e+01   5.70000e+01   6.69567e+00   1.29635e+01   8.70000e+01
            58   8.54225e+01   5.80000e+01   6.10494e+00   1.29532e+01   8.80000e+01
            59   8.64520e+01   5.90000e+01   5.51019e+00   1.29428e+01   8.90000e+01
            60   8.74635e+01   6.00000e+01   4.85160e+00   1.29310e+01   9.00000e+01
            61   8.84698e+01   6.10000e+01   4.22299e+00   1.29195e+01   9.10000e+01
            62   8.94807e+01   6.20000e+01   3.59739e+00   1.29078e+01   9.20000e+01
            63   9.04870e+01   6.30000e+01   2.96866e+00   1.28959e+01   9.30000e+01
            64   9.14844e+01   6.40000e+01   2.28369e+00   1.28828e+01   9.40000e+01
            65   9.24856e+01   6.50000e+01   1.62704e+00   1.28699e+01   9.50000e+01
            66   9.34785e+01   6.60000e+01   9.76660e-01   1.28568e+01   9.60000e+01
            67   9.44843e+01   6.70000e+01   3.27148e-01   1.28435e+01   9.70000e+01
            68   9.54758e+01   6.80000e+01  -3.51457e-01   1.28291e+01   9.80000e+01
            69   9.64792e+01   6.90000e+01  -1.01627e+00   1.28149e+01   9.90000e+01
            70   9.74832e+01   7.00000e+01  -1.67586e+00   1.28006e+01   1.00000e+02
            71   9.84740e+01   7.10000e+01  -2.33430e+00   1.27860e+01   1.01000e+02
            72   9.94595e+01   7.20000e+01  -3.00751e+00   1.27705e+01   1.02000e+02
            73   1.00450e+02   7.30000e+01  -3.67228e+00   1.27552e+01   1.03000e+02
            74   1.01449e+02   7.40000e+01  -4.33268e+00   1.27397e+01   1.04000e+02
            75   1.02446e+02   7.50000e+01  -4.99027e+00   1.27240e+01   1.05000e+02
            76   1.03442e+02   7.60000e+01  -5.64111e+00   1.27076e+01   1.06000e+02
            77   1.04420e+02   7.70000e+01  -6.29043e+00   1.26913e+01   1.07000e+02
            78   1.05419e+02   7.80000e+01  -6.93352e+00   1.26750e+01   1.08000e+02
            79   1.06418e+02   7.90000e+01  -7.57221e+00   1.26586e+01   1.09000e+02
            80   1.07406e+02   8.00000e+01  -8.19181e+00   1.26416e+01   1.10000e+02
            81   1.08397e+02   8.10000e+01  -8.81320e+00   1.26248e+01   1.11000e+02
            82   1.09390e+02   8.20000e+01  -9.42883e+00   1.26080e+01   1.12000e+02
            83   1.10383e+02   8.30000e+01  -1.00383e+01   1.25911e+01   1.13000e+02
            84   1.11382e+02   8.40000e+01  -1.06036e+01   1.25740e+01   1.14000e+02
            85   1.12375e+02   8.50000e+01  -1.11816e+01   1.25569e+01   1.15000e+02
            86   1.13379e+02   8.60000e+01  -1.17542e+01   1.25399e+01   1.16000e+02
